source,source_lang,translation_bureau,m2m100_418m_base,m2m100_418m_finetuned,mbart50_mmt_base,mbart50_mmt_finetuned,nllb_3b_base_researchonly,opus_mt_base,opus_mt_finetuned,corpus_type
"Consequently as long as there is a chance that the background environment is changing, there is also an implicit expiry date associated with the advice.",en,"Par conséquent, tant qu il est possible qu un environnement donné change, l'avis s'accompagne implicitement d'une date d'expiration.","Par conséquent, tant qu’il y a une chance que l’environnement de fond change, il y a aussi une date d’expiration implicite associée au conseil.","Par conséquent, tant qu il y a une chance que l'environnement de fond change, il y a aussi une date d'expiration implicite associée à l'avis.","Par conséquent, tant qu'il y a une chance que l'environnement de fond évolue, il y a aussi une date d'expiration implicite associée au conseil.","Par conséquent, tant qu il est possible que l'environnement de référence change, il existe également une date d'expiration implicite associée à l'avis.","Par conséquent, tant qu'il existe une possibilité que l'environnement de base change, il existe également une date d'expiration implicite associée au conseil.","Par conséquent, tant qu'il y a une chance que l'environnement de fond change, il y a aussi une date d'expiration implicite associée à l'avis.","Par conséquent, tant qu il y a une chance que l'environnement de base change, il y a aussi une date d'expiration implicite associée à l'avis.",eval_data
Il est essentiel de diviser les interactions potentielles et les interactions actuelles pour fournir des ensembles complets d'indicateurs de surveillance.,fr,The division of potential and current snapshot interactions is essential to providing complete suites of indicators for monitoring.,It is essential to divide potential interactions and current interactions to provide complete sets of monitoring indicators.,It is critical to divide potential interactions and current interactions to provide complete sets of monitoring indicators.,It is essential to divide potential and current interactions to provide comprehensive monitoring indicators.,It is essential to divide potential interactions and current interactions to provide complete monitoring indicator sets.,It is essential to separate potential interactions from actual interactions in order to provide complete sets of surveillance indicators.,It is essential to divide potential interactions and current interactions to provide comprehensive sets of monitoring indicators.,It is essential to divide potential and current interactions to provide complete sets of monitoring indicators.,eval_data
"Pour les populations en déclin ( 1), il est possible de calculer l'ampleur du changement de l'indice vital nécessaire pour faire passer le taux de croissance de la population à 1 (stable).",fr,For populations with a declining population ( 1) the amount of change to a vital rate required to increase the population growth rate to 1 (stable) can be calculated.,"For decreasing populations (1), it is possible to calculate the scale of the change of the vital index necessary to increase the population growth rate to 1 (stable).","For populations in decline ( 1), it is possible to calculate the magnitude of the change in the vital index required to move the population growth rate to 1 (stable).","For populations in decline ( 1), it is possible to calculate the extent of the change in the vital index necessary to bring the population growth rate to 1 (stable).","For declining populations ( 1), it is possible to calculate the magnitude of change in the vital index needed to shift the population growth rate to 1 (stable).","For declining populations (1), it is possible to calculate the magnitude of change in the vital index required to bring the population growth rate to 1 (stable).","For declining populations (1), it is possible to calculate the magnitude of the change in the vital index needed to increase the population growth rate to 1 (stable).","For declining populations ( 1), it is possible to calculate the magnitude of the change in vital index required to increase the population growth rate to 1 (stable).",eval_data
Conditions environnementales En eau douce On peut avoir une idée des conditions environnementales qui régnaient en eau douce en examinant la fréquence et la durée des fermetures de rivières à saumon dues à des causes environnementales.,fr,Environmental conditions Freshwater - Freshwater environmental conditions can be inferred by examining the frequency and extent that salmon rivers were closed for environmental reasons.,Environmental conditions In fresh water We can have an idea of the environmental conditions that rule in fresh water by examining the frequency and duration of the closures of salmon rivers due to environmental causes.,Environmental Conditions In freshwater There can be an idea of the environmental conditions that reigned in freshwater by examining the frequency and duration of salmon river closures due to environmental causes.,Environmental Conditions In Freshwater One can get an idea of the environmental conditions that governed freshwater by examining the frequency and duration of salmon river closures due to environmental causes.,Freshwater Environmental Conditions One can get an idea of the environmental conditions that governed freshwater by looking at the frequency and duration of salmon river closures due to environmental causes.,Environmental conditions in freshwater One can get an idea of the environmental conditions that prevailed in freshwater by examining the frequency and duration of closures of salmon rivers due to environmental causes.,Environmental Conditions In Freshwater One can get an idea of the environmental conditions in fresh water by examining the frequency and duration of salmon river closures due to environmental causes.,Environmental Conditions In Fresh Water An idea of environmental conditions in fresh water can be obtained by examining the frequency and duration of salmon river closures due to environmental causes.,eval_data
Un seuil de densité pour les espèces a-t-il été utilisé pour déterminer la limite inférieure de la plage de fetch.,fr,Was there a species density threshold used to determine the low fetch cut-off.,A density threshold for species has been used to determine the lower limit of the fetch range.,Was a density threshold for species used to determine the lower limit of the fetch range.,A species density threshold was used to determine the lower limit of the fetch range.,Has a density threshold for species been used to determine the lower boundary of the fetch range.,Whether a density threshold for the species has been used to determine the lower limit of the fetch range.,Has a species density threshold been used to determine the lower limit of the fetch range?,Was a density threshold for species used to determine the lower bound of the fetch range.,eval_data
This reflected decreases ranging from 20- 48 in the various management areas.,en,Cela était attribuable à des baisses variant de 20 à 48 dans les diverses zones de gestion.,Cela reflète des réductions allant de 20 à 48 dans les différents domaines de la gestion.,Cela reflète des diminutions allant de 20 à 48 dans les différentes zones de gestion.,Cela reflète des diminutions allant de 20 à 48 dans les divers domaines de gestion.,Cela reflète des diminutions allant de 20 à 48 dans les différentes zones de gestion.,Cela reflète des baisses allant de 20 à 48 dans les différents domaines de gestion.,Cela reflète des diminutions allant de 20 à 48 dans les différents domaines de gestion.,Cela reflète des diminutions allant de 20 à 48 dans les diverses zones de gestion.,eval_data
Les résultats de ces analyses indiquent clairement que le saumon atlantique des hautes terres du Sud est très près du seuil entre la disparition et la viabilité.,fr,The results of these analyses clearly indicate how close SU Atlantic salmon are to the threshold between becoming extinct and being viable.,The results of these analyses clearly indicate that the Atlantic salmon in the southern high lands is very close to the threshold between disappearance and viability.,The results of these analyses clearly indicate that Atlantic Salmon from the Southern Upper Land are very close to the extinction and viability threshold.,The results of these analyses clearly indicate that Atlantic salmon in the highlands of the South are very close to the threshold between extinction and viability.,The results of these analyses clearly indicate that Southern Upland Atlantic Salmon are very close to the threshold between extinction and viability.,The results of these analyses clearly indicate that the Southern Highland Atlantic salmon is very close to the threshold between extinction and viability.,The results of these analyses clearly indicate that the southern highland Atlantic salmon is very close to the threshold between extirpation and viability.,The results of these analyses clearly indicate that Southern Upland Atlantic Salmon are very close to the threshold between extirpation and viability.,eval_data
"1000 Mont-Joli, Québec, G5H 3Z4 Avant-propos Le présent compte rendu a pour but de consigner les principales activités et discussions qui ont eu lieu au cours de la réunion.",fr,"Box 1000 Mont-Joli, Quebec G5H 3Z4 Foreword The purpose of these Proceedings is to document the activities and key discussions of the meeting.","1000 Mont-Joli, Québec, G5H 3Z4 Pre-propos This report aims to record the main activities and discussions that took place during the meeting.","1000 Mont-Joli, Quebec, G5H 3Z4 Foreword This Proceedings Report is intended to document the main activities and discussions that took place during the meeting.","1000 Mont-Joli, Quebec, G5H 3Z4 Foreword The purpose of this report is to record the main activities and discussions that took place during the meeting.","1000 Mont-Joli, Quebec, G5H 3Z4 Foreword The purpose of these Proceedings is to document the main activities and discussions of the meeting.","1000 Mont-Joli, Québec, G5H 3Z4 Foreword The purpose of this report is to record the main activities and discussions which took place during the meeting.","1000 Mont-Joli, Quebec, G5H 3Z4 Foreword The purpose of this report is to record the main activities and discussions that took place during the meeting.","1000 Mont-Joli, Quebec G5H 3Z4 Foreword The purpose of these Proceedings is to document the main activities and discussions of the meeting.",eval_data
Un document de travail qui décrit un cadre pour définir les priorités de conservation et l'application de ce cadre dans la biorégion du plateau nord a été présenté à l'examen par les pairs.,fr,One working paper was presented for peer-review and outlines a framework for identifying conservation priorities (CPs) and the application of this framework in the Northern Shelf Bioregion (NSB).,A work document that describes a framework to define conservation priorities and the application of this framework in the Northern Plateau bioregion was presented to the review by the peers.,A working paper describing a framework for defining conservation priorities and the application of this framework in the North Shelf Bioregion was presented to the peer review.,A working paper outlining a framework for defining conservation priorities and the implementation of this framework in the northern plateau bioregion was presented for peer review.,A working paper outlining a framework for defining conservation priorities and the application of this framework in the northern shelf bioregion was presented for peer review.,A working paper describing a framework for defining conservation priorities and the application of this framework in the Northern Plateau bioregion was submitted for peer review.,A discussion paper outlining a framework for defining conservation priorities and applying this framework in the North Shelf bioregion was presented for peer review.,A working paper outlining a framework for defining conservation priorities and applying this framework in the Northern Shelf Bioregion was presented to the peer review.,eval_data
Le poisson le plus âgé que l'on ait répertorié avait atteint 113 ans.,fr,The oldest fish aged to date was 113 years.,The oldest fish listed was 113 years old.,The oldest fish listed was 113 years old.,The oldest recorded fish was 113 years old.,The oldest fish recorded was 113 years old.,The oldest fish ever recorded was 113 years old.,The oldest recorded fish was 113 years old.,The oldest recorded fish had reached 113 years of age.,eval_data
"De plus, en raison de l'incertitude entourant l'ampleur des prélèvements par la pêche, il peut devenir difficile de démêler les rôles relatifs des changements observés dans la mortalité naturelle et la pression exercée par la pêche, des éléments essentiels à la compréhension des causes de l'effondrement des stocks et de l'incapacité à rétablir ceux-ci malgré des diminutions apparentes de la mortalité par pêche pour de nombreux stocks des eaux canadiennes de l'Atlantique (p.",fr,"Furthermore, uncertainty about the magnitude of fishery removals can hinder disentangling the relative roles of changes in natural mortality and fishing pressure, which is important for understanding the causes stock collapse and failure to rebuild despite apparent reductions in fishing mortality of many groundfish stocks in Atlantic Canada (e.g., Swain et al.","Furthermore, due to the uncertainty surrounding the scale of the fishing taxes, it may become difficult to dismiss the relative roles of the changes observed in natural mortality and the pressure exercised by fishing, essential elements for the understanding of the causes of the collapse of stocks and the incapacity to restore them despite the apparent decrease in fishing mortality for many stocks of Canadian waters of the Atlantic (p.","Furthermore, due to the uncertainty about the magnitude of fishery removals, it can become difficult to discard the relative roles of observed changes in natural mortality and fishing pressure, critical elements for understanding the causes of stock collapse and inability to recover, despite apparent decreases in fishing mortality for many stocks in Atlantic Canadian waters (e.g.","Furthermore, due to uncertainty surrounding the extent of fishing harvests, it may become difficult to reconcile the relative roles of changes in natural mortality and fishing pressure, which are essential to understanding the causes of stock collapse and the inability to restore stocks despite apparent reductions in fishing mortality for many stocks in Canadian Atlantic waters (p.","Additionally, due to uncertainty in the magnitude of fishery removals, it can become difficult to untangle the relative roles of observed changes in natural mortality and fishing pressure, elements essential to understanding the causes of stock collapses and the inability to restore them despite apparent reductions in fishing mortality for many stocks in Atlantic Canada (e.g.","In addition, due to the uncertainty surrounding the extent of removals by fishing, it may become difficult to untangle the relative roles of observed changes in natural mortality and fishing pressure, which are essential to understanding the causes of stock collapse and the inability to restore stocks despite apparent decreases in fishing mortality for many stocks in Atlantic Canadian waters (p.","In addition, uncertainty about the magnitude of harvests can make it difficult to disentangle the relative roles of observed changes in natural mortality and fishing pressure, which are essential to understanding the causes of stock collapse and the inability to recover despite apparent decreases in fishing mortality for many stocks in Atlantic Canadian waters (e.g.","In addition, uncertainty in the magnitude of fishery removals can make it difficult to disentangle the relative roles of observed changes in natural mortality and fishing pressure, which are essential to understanding the causes of stock collapse and the inability to recover despite apparent decreases in fishing mortality for many stocks in Atlantic Canadian waters (e.g.",eval_data
"D autres suggestions incluent la prise en compte de la température moyenne hebdomadaire (TMH), y compris un seuil supérieur et inférieur, l'utilisation d'enregistreurs de température (sources de données grises fournies), et le taux de changement de température.",fr,"Other suggestions include considering Mean Weekly Average Temperature (MWAT), including an upper and lower threshold limit, utilizing temperature loggers (grey data sources provided), and temperature rate of change.","Other suggestions include taking into account the average weekly temperature (TMH), including a higher and lower threshold, the use of temperature recorders (grey data sources provided), and the temperature change rate.","Other suggestions include consideration of weekly mean temperature (MTH), including an upper and lower threshold, the use of temperature recorders (grey data sources provided), and the rate of temperature change.","Other suggestions include taking into account weekly mean temperature (TMH), including upper and lower thresholds, the use of temperature recorders (grey data sources provided), and the rate of temperature change.","Other suggestions include taking into account the weekly mean temperature (TMH), including a upper and lower threshold, the use of temperature recorders (grey data sources provided), and the rate of temperature change.","Other suggestions include taking into account the weekly mean temperature (WAT), including an upper and lower threshold, the use of temperature recorders (grey data sources provided), and the rate of temperature change.","Other suggestions include taking into account the average weekly temperature (MTH), including an upper and lower threshold, the use of temperature loggers (grey data sources provided), and the rate of temperature change.","Other suggestions include consideration of average weekly temperature (TMH), including an upper and lower threshold, the use of temperature recorders (grey data sources provided), and the rate of temperature change.",eval_data
Cette pêche est maintenant dominée par des bateaux pêchant à l'aide de filets maillants dont les ports d'attache sont au Québec et sur la côte ouest de Terre-Neuve.,fr,This fishery is now dominated by vessels fishing with gillnets whose home ports are in Quebec and on the west coast of Newfoundland.,This fishing is now dominated by fishing vessels using melting networks whose ports are in Quebec and on the west coast of New Earth.,This fishery is now dominated by vessels fishing using gillnets with attachment ports in Quebec and the west coast of Newfoundland.,This fishery is now dominated by maillant net fishing vessels with home ports in Quebec and on the west coast of Newfoundland.,This fishery is now dominated by gillnet fishing vessels with home ports in Quebec and on the west coast of Newfoundland.,This fishery is now dominated by trawlers with home ports in Quebec and on the west coast of Newfoundland.,This fishery is now dominated by gillnet fishing vessels with home ports in Quebec and on the west coast of Newfoundland.,This fishery is now dominated by gillnet fishing vessels with home ports in Quebec and on the west coast of Newfoundland.,eval_data
"Indicateur 1 : L'abondance des espèces clés a été utilisée comme indicateur de la productivité, la biomasse n'étant pas une mesure utilisée dans les ensembles de données sur les poissons, les oiseaux et l'endofaune benthique.",fr,"Indicator 1: Abundance of key species were used as a proxy for productivity, as biomass was not a metric used within the fish, bird, and benthic infauna datasets.","Indicator 1: The abundance of key species has been used as a productivity indicator, the biomass is not a measure used in the data sets on fish, birds and the benthic endofone.","Indicator 1: Key species abundance was used as an indicator of productivity, as biomass is not a measure used in fish, bird and benthic endofoon datasets.","Indicator 1: The abundance of key species was used as a productivity indicator, as biomass is not a measure used in fish, bird and benthic endofauna data sets.","Indicator 1: The abundance of key species was used as an indicator of productivity, with biomass not a measure used in fish, bird and benthic endofauna datasets.","Indicator 1: The abundance of key species was used as an indicator of productivity, as biomass is not a measure used in the fish, bird and benthic endofauna data sets.","Indicator 1: Key species abundance was used as an indicator of productivity, as biomass was not a measure used in fish, birds and benthic endofauna datasets.","Indicator 1: Abundance of key species was used as an indicator of productivity, with biomass not a metric used in fish, bird and benthic infauna datasets.",eval_data
"Cette valeur a été estimée à partir de l'effort au prorata et en supposant une vitesse de dragage statique de 2,5 n'uds et une largeur de drague réglementaire maximale de 4,9 m.",fr,"This was estimated from the prorated effort, and assuming a static towing speed of 2.5 knots and the maximum regulated drag width of 4.9 m.",This value was estimated from the prorata effort and assuming a static dragging speed of 2.5 nuts and a maximum regulatory dragging width of 4.9 m.,This value was estimated from the effort at the prorata and assuming a statistical dredging speed of 2.5 knots and a maximum legal dredge width of 4.9 m.,This value was estimated from the prorata effort and assuming a static dredging speed of 2.5 nuds and a maximum regulatory dredging width of 4.9 m.,This value was estimated from prorata effort and assuming a static dredging speed of 2.5 knots and a maximum legal dredging width of 4.9 m.,"This value was estimated from the pro rata effort and assuming a static dredging speed of 2,5 knots and a maximum regulated dredge width of 4,9 m.",This value was estimated from the prorated effort and assuming a static dredge speed of 2.5 n uds and a maximum regulatory dredge width of 4.9 m.,This value was estimated from the pro-rated effort and assuming a static dredging speed of 2.5 knots and a maximum regulatory dredge width of 4.9 m.,eval_data
A discussion of the content for the next assessment will be discussed.,en,Une discussion sur le contenu de la prochaine évaluation sera discuté.,Une discussion du contenu pour la prochaine évaluation sera discutée.,Une discussion sur le contenu de la prochaine évaluation sera abordée.,On discutera du contenu de la prochaine évaluation.,On discutera du contenu de la prochaine évaluation.,Le contenu de la prochaine évaluation sera discuté.,Une discussion sur le contenu de la prochaine évaluation sera discutée.,Une discussion sur le contenu de la prochaine évaluation sera discutée.,eval_data
"Compte tenu des objectifs stratégiques de conservation, veuillez déterminer les conséquences précises de ne pas intégrer cette zone au scénario.",fr,"Considering the strategic conservation objectives, please identify the specific consequences of not integrating this area into the scenario.","Given the strategic conservation objectives, please determine the exact consequences of not incorporating this area into the scenario.","Given the conservation strategic objectives, please identify the specific consequences of not incorporating this area into the scenario.","Given the strategic conservation objectives, please identify the specific consequences of not including this area in the scenario.","Given the strategic conservation objectives, please identify the specific consequences of not including this area in the scenario.","In view of the strategic conservation objectives, please specify the precise consequences of not including this area in the scenario.","Given the strategic conservation objectives, please determine the specific consequences of not including this area in the scenario.","Given the strategic conservation objectives, please identify the specific consequences of not incorporating this area into the scenario.",eval_data
"Au début, les deux groupes de discussion ne s'entendaient pas sur ce point, un groupe indiquant que l'on devrait fournir plus d'efforts pour la désignation de l'habitat essentiel des espèces dont l'habitat est limité.",fr,"Initially the two breakout groups differed on this point, as one group indicated effort for designation of critical habitat should be higher for habitat-limited species.","At the beginning, the two discussion groups did not agree on this point, a group indicating that more efforts should be made to designate the essential habitat of species whose habitat is limited.","Initially, the two discussion groups did not agree on this, a group indicating that more effort should be made to identify critical habitat for species with limited habitat.","Initially, the two discussion groups did not agree on this point, with one group indicating that more efforts should be made to designate critical habitat for species with limited habitat.","Initially, the two discussion groups did not agree on this point, with one group indicating that more effort should be made to identify critical habitat for species with limited habitat.","Initially, the two discussion groups disagreed on this point, with one group indicating that more effort should be made to designate critical habitat for species with limited habitat.","At first, the two focus groups disagreed on this point, with one group indicating that more effort should be made to identify critical habitat for species with limited habitat.","At first, both focus groups disagreed on this, with a group indicating that more effort should be made to identify critical habitat for species with limited habitat.",eval_data
Cet indicateur mesure la durabilité des pêches de capture marines à l'échelle mondiale à partir des niveaux d'abondance des stocks de poissons.,fr,This indicator measures the sustainability of the world's marine capture fisheries by their abundance.,This indicator measures the sustainability of marine fishing globally from the levels of abundance of fish stocks.,This indicator measures the sustainability of marine catch fisheries globally from fish stock abundance levels.,This indicator measures the sustainability of global marine capture fisheries based on levels of fish stock abundance.,This indicator measures the sustainability of global marine catch fisheries based on abundance levels of fish stocks.,This indicator measures the sustainability of global marine capture fisheries based on the levels of abundance of fish stocks.,This indicator measures the sustainability of global marine capture fisheries based on abundance levels of fish stocks.,This indicator measures the sustainability of marine capture fisheries globally from abundance levels of fish stocks.,eval_data
The q-corrected fishable biomass index is shown in green dashed lines.,en,L indice de la biomasse exploitable corrigé en fonction du Q est indiqué par des lignes pointillées vertes.,L'indice de biomasse poissonnable corrigé q est affiché dans des lignes vertes.,L indice de la biomasse exploitable corrigé par q est indiqué en lignes pointillées vertes.,L'indice de biomasse de pêche corrigé par q est indiqué en lignes affichées vertes.,L indice de la biomasse exploitable corrigé par q est indiqué par des lignes pointillées vertes.,L'indice de biomasse pêchable corrigé de q est indiqué par des lignes en pointillés verts.,L'indice de biomasse exploitable corrigé en q est indiqué en traits pointillés verts.,L indice de la biomasse exploitable corrigé en q est indiqué en lignes pointillées vertes.,eval_data
"Cette étude a été menée par Golder Associates Ltd, en vertu d'un marché passé par le MPO.",fr,"This study was conducted by Golder Associates Ltd, under contract to DFO.","This study was conducted by Golder Associates Ltd, under a market passed by the MPO.","This study was conducted by Golder Associates Ltd, under a DFO market.",This study was conducted by Golder Associates Ltd under a contract with DFO.,"This study was conducted by Golder Associates Ltd, under a contract with DFO.",This study was carried out by Golder Associates Ltd under a DFO contract.,"This study was conducted by Golder Associates Ltd, under a contract with DFO.","This study was conducted by Golder Associates Ltd, under a contract with DFO.",eval_data
"Le présent document de travail est accepté en tant que document de recherche, avec les modifications qui reflètent le consensus autour du modèle de cadre de décision.",fr,This working paper was accepted as a research document with changes that reflect the consensus on the decision framework model.,"This work document is accepted as a research document, with the changes that reflect the consensus around the decision framework model.","This working paper is accepted as a Research Document, with the changes that reflect consensus around the decision-making framework model.","This working paper is accepted as a research paper, with amendments reflecting consensus around the decision framework model.","This working paper was accepted as a research document, with changes reflecting consensus around the decision framework model.","This working paper is accepted as a research paper, with amendments reflecting the consensus around the decision framework model.","This discussion paper is accepted as a research paper, with changes that reflect consensus around the decision framework model.","This working paper is accepted as a research document, with changes that reflect consensus around the decision framework model.",eval_data
Les taux de déclin et les résultats du modèle de la population étaient semblables pour l'indice du relevé par navire de recherche et pour l'indice combiné.,fr,Decline rates and population model results were similar using either the RV index or the combined index.,The decrease rates and the results of the population model were similar for the research ships report index and for the combined index.,The decline rates and population model results were similar for the research vessel survey index and for the combined index.,The decline rates and population model results were similar for the survey index per research vessel and the combined index.,Decline rates and population model results were similar for the research vessel survey index and for the combined index.,Decline rates and population model results were similar for the survey by research vessel index and for the combined index.,Decline rates and population model results were similar for the survey index by research vessel and for the combined index.,Decline rates and population model results were similar for the RV survey index and for the combined index.,eval_data
Le modèle a été exécuté de nouveau en appliquant le changement susmentionné et a produit la même tendance et le même niveau d'abondance pour les poissons âgés de 4 ans et plus.,fr,Model was re-run with the above change and produced the same trend and level of abundance for 4 fish.,The model was executed again by applying the above change and produced the same trend and the same level of abundance for fish aged 4 years and older.,The model was run again by applying the above change and produced the same trend and level of abundance for fish aged 4 years.,The model was re-implemented by applying the above-mentioned change and produced the same trend and level of abundance for fish 4 years and older.,The model was run again by applying the above change and produced the same trend and level of abundance for fish aged 4 years and older.,The model was run again by applying the above change and produced the same trend and abundance level for fish aged 4 years and above.,The model was re-executed by applying the above-mentioned change and produced the same trend and level of abundance for fish aged 4 years and older.,The model was run again applying the above change and produced the same trend and level of abundance for fish aged 4 years and older.,eval_data
La présente réponse des Sciences constitue la meilleure information disponible sur le saumon quinnat disponible actuellement recueillie dans un court délai.,fr,This Science Response (SR) represents the best available science information on Chinook Salmon at present compiled on a short timeline.,This Science response constitutes the best available information on Quinnat salmon currently available collected in a short time.,This Science Response represents the best available information on currently available Chinook Salmon collected in the short term.,This Science response is the best available information on available chinook salmon currently collected in the short term.,This Science Response is the best available information on Chinook Salmon currently available collected in a short timeframe.,This response from Sciences constitutes the best available information on quinnat salmon currently available collected in a short period of time.,This Science Response is the best available information on chinook salmon currently collected in a short time frame.,This Science Response is the best available information on Chinook Salmon currently collected in a short time frame.,eval_data
These probabilities account for uncertainty in the biomass forecasts.,en,Ces probabilités tiennent compte de l'incertitude dans les prévisions de la biomasse.,Ces probabilités représentent une incertitude dans les prévisions de la biomasse.,Ces probabilités tiennent compte de l'incertitude dans les prévisions de la biomasse.,Ces probabilités expliquent l'incertitude des prévisions sur la biomasse.,Ces probabilités tiennent compte de l'incertitude dans les prévisions de la biomasse.,Ces probabilités expliquent l'incertitude des prévisions relatives à la biomasse.,Ces probabilités tiennent compte de l'incertitude dans les prévisions de biomasse.,Ces probabilités tiennent compte de l'incertitude dans les prévisions de la biomasse.,eval_data
"This Report is Available from the: Centre for Science Advice, Maritimes Region and Gulf Region Department of Fisheries and Oceans P.O.",en,Ce rapport est disponible auprès du : Centre des avis scientifiques (CAS) Régions des Maritimes et du Golfe Ministère des Pêches et des Océans C.P.,"Ce rapport est disponible à partir du: Centre pour les conseils scientifiques, Région maritime et Région du Golfe Département de la pêche et des océans P.O.","Ce rapport est disponible auprès du : Centre des avis scientifiques, Région des Maritimes et Région du Golfe Ministère des Pêches et des Océans C.P.","Ce rapport est disponible auprès du Centre for Science Advice, Région des Maritimes et Région du Golfe Ministère des Pêches et des Océans P.O.","Ce rapport est disponible auprès du : Centre des avis scientifiques, Région des Maritimes et du Golfe Ministère des Pêches et des Océans C.P.",Ce rapport est disponible auprès du Centre de conseils scientifiques de la région des Maritimes et du département des pêches et des océans de la région du Golfe.,"Ce rapport est disponible auprès du : Centre de consultation scientifique, Région des Maritimes et Région du Golfe Ministère des Pêches et des Océans C.P.","Ce rapport est disponible auprès du : Centre des avis scientifiques, Région des Maritimes et Région du Golfe Ministère des Pêches et des Océans C.P.",eval_data
"En ce qui concerne les objectifs de rendement, seules les procédures de gestion avec des taux de prises maximums de 10 et des plafonds des prises ont pu maintenir la variabilité des prises à un niveau proche ou inférieur à 25 , probablement parce que les taux de prises effectifs plus faibles ont maintenu une biomasse moyenne plus élevée, ce qui a entraîné une fréquence plus faible de résultats d'évaluation en dessous des seuils.",fr,"For yield objectives, only MPs with 10 maximum harvest rates and catch caps were able to maintain catch variability near or below 25 probably because the lower effective harvest rates maintained higher average biomass, which resulted in lower frequency of assessment outcomes below the cutoffs.","In terms of performance objectives, only management procedures with maximum take rates of 10 and thresholds of take have been able to maintain the variability of take at a level close to or below 25, probably because lower actual take rates haveined a higher average biomass, resulting in a lower frequency of evaluation results below thresholds.","For performance objectives, only management procedures with maximum catch rates of 10 and catch thresholds were able to maintain catch variability at a level close to or below 25 , likely because lower effective catch ratesined higher mean biomass, resulting in lower frequency of assessment results below thresholds.","With respect to performance objectives, only management procedures with maximum catch rates of 10 and catch limits were able to maintain catch variability at a level close to or below 25 , probably because lower effective catch rates maintained higher average biomass, resulting in lower frequency of evaluation results below thresholds.","With respect to performance targets, only management procedures with maximum catch rates of 10 and catch limits were able to maintain catch variability to a level close to or below 25 , likely because lower effective catch rates maintained a higher average biomass, resulting in lower frequency of assessment results below thresholds.","With regard to yield targets, only management procedures with maximum catch rates of 10 and catch ceilings were able to maintain catch variability close to or below 25 , probably because lower effective catch rates maintained a higher average biomass, which resulted in a lower frequency of assessment results below the thresholds.","With respect to yield targets, only management procedures with maximum catch rates of 10 and catch ceilings were able to maintain catch variability close to or below 25 , probably because lower effective catch rates maintained a higher average biomass, resulting in a lower frequency of assessment results below the thresholds.","With respect to performance targets, only management procedures with maximum catch rates of 10 and catch caps were able to maintain catch variability at or below 25 , likely because lower effective catch rates maintained a higher mean biomass, resulting in a lower frequency of assessment results below thresholds.",eval_data
"The blue vertical bars indicate the relative daily abundance of each stock at Mission, pink vertical bars represent days with daily mean water temperatures of 18-18.9 ( C) and red bars represent days with daily mean water temperatures of greater than 19 ( C).",en,"Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent la température de l'eau quotidienne moyenne (18-18,9 C), et les barres rouges correspondent aux jours où la température moyenne de l'eau a dépassé 19 C.","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales rouges représentent des jours avec des températures d'eau moyennes quotidiennes de 18-18.9 (C) et les barres rouges représentent des jours avec des températures d'eau moyennes quotidiennes de plus de 19 (C).","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent les jours où la température moyenne quotidienne de l'eau est de 18 à 18,9 ( C) et les barres rouges représentent les jours où la température moyenne quotidienne de l'eau est supérieure à 19 ( C).","Les bars verticaux bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les bars verticaux roses représentent les jours avec des températures d'eau moyennes quotidiennes de 18-18,9 (C) et les bars rouges représentent les jours avec des températures d'eau moyennes quotidiennes supérieures à 19 (C).","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent les jours avec des températures de l'eau quotidiennes moyennes de 18-18,9 ( C) et les barres rouges représentent les jours avec des températures de l'eau quotidiennes moyennes de plus de 19 ( C).","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent les jours où la température moyenne quotidienne de l'eau est de 18 à 18,9 °C et les barres rouges les jours où la température moyenne quotidienne de l'eau est supérieure à 19 °C.","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent les jours où la température moyenne quotidienne de l'eau est de 18 à 18,9 (C) et les barres rouges représentent les jours où la température moyenne quotidienne de l'eau est supérieure à 19 (C).","Les barres verticales bleues indiquent l'abondance quotidienne relative de chaque stock à Mission, les barres verticales roses représentent les jours avec des températures moyennes quotidiennes de l'eau de 18 à 18,9 ( C) et les barres rouges représentent les jours avec des températures moyennes quotidiennes de l'eau supérieures à 19 ( C).",eval_data
